,DOI,Citation
0,10.1093/jcr/ucab077,2
1,10.1093/jcr/ucaa041,32
2,10.1093/jcr/ucaa044,23
3,10.1093/jcr/ucab012,14
4,10.1093/jcr/ucab066,2
5,10.1093/jcr/ucab026,4
6,10.1093/jcr/ucaa060,15
7,10.1093/jcr/ucaa049,11
8,10.1093/jcr/ucab037,9
9,10.1093/jcr/ucac013,2
10,10.1093/jcr/ucac021,2
11,10.1093/jcr/ucab030,10
12,10.1093/jcr/ucab035,7
13,10.1093/jcr/ucab073,3
14,10.1093/jcr/ucab038,24
15,10.1093/jcr/ucab046,6
16,10.1093/jcr/ucab042,4
17,10.1093/jcr/ucab048,2
18,10.1093/jcr/ucab039,6
19,10.1093/jcr/ucab009,2
20,10.1093/jcr/ucab065,4
21,10.1093/jcr/ucab019,7
22,10.1093/jcr/ucab028,9
23,10.1093/jcr/ucaa051,6
24,10.1093/jcr/ucab057,16
25,10.1093/jcr/ucaa050,5
26,10.1093/jcr/ucab022,7
27,10.1093/jcr/ucab070,2
28,10.1093/jcr/ucab015,5
29,10.1093/jcr/ucab054,13
30,10.1093/jcr/ucab031,2
31,10.1093/jcr/ucab008,3
32,10.1093/jcr/ucaa054,9
33,10.1093/jcr/ucab025,2
34,10.1093/jcr/ucab076,5
35,10.1093/jcr/ucab053,3
36,10.1093/jcr/ucab041,3
37,10.1093/jcr/ucab063,13
38,10.1093/jcr/ucaa019,12
39,10.1093/jcr/ucaa030,8
40,10.1093/jcr/ucab036,2
41,10.1093/jcr/ucab004,1
42,10.1093/jcr/ucab011,9
43,10.1093/jcr/ucaa062,15
44,10.1093/jcr/ucaa038,49
45,10.1093/jcr/ucaa067,15
46,10.1093/jcr/ucab014,26
47,10.1093/jcr/ucaa043,9
48,10.1093/jcr/ucab024,2
49,10.1093/jcr/ucaa063,22
50,10.1093/jcr/ucaa059,10
51,10.1093/jcr/ucaa040,32
52,10.1093/jcr/ucab016,1
53,10.1093/jcr/ucab052,5
54,10.1093/jcr/ucab040,1
55,10.1093/jcr/ucab056,4
56,10.1093/jcr/ucab061,2
57,10.1093/jcr/ucab001,25
58,10.1093/jcr/ucab068,7
59,10.1093/jcr/ucab051,2
60,10.1093/jcr/ucab055,1
61,10.1093/jcr/ucaa066,11
62,10.1093/jcr/ucab034,11
63,10.1093/jcr/ucac004,1
64,10.1093/jcr/ucab029,7
65,10.1093/jcr/ucaa053,15
66,10.1093/jcr/ucab020,2
67,10.1093/jcr/ucaa046,16
68,10.1093/jcr/ucaa065,5
69,10.1093/jcr/ucab045,8
70,10.1093/jcr/ucac018,2
71,10.1093/jcr/ucab050,5
72,10.1093/jcr/ucab059,4
73,10.1093/jcr/ucaa047,28
74,10.1093/jcr/ucab074,3
75,10.1093/jcr/ucab067,5
76,10.1093/jcr/ucaa037,8
77,10.1093/jcr/ucab006,13
78,10.1093/jcr/ucab058,5
79,10.1093/jcr/ucab033,4
80,10.1093/jcr/ucab043,9
81,10.1093/jcr/ucab002,8
82,10.1093/jcr/ucab075,4
83,10.1093/jcr/ucaa057,17
84,10.1093/jcr/ucab021,3
85,10.1093/jcr/ucab069,1
86,10.1093/jcr/ucaa026,9
87,10.1093/jcr/ucab003,11
88,10.1093/jcr/ucaa061,20
89,10.1093/jcr/ucaa042,10
90,10.1093/jcr/ucaa064,4
91,10.1093/jcr/ucab007,19
92,10.1093/jcr/ucaa028,21
93,10.1093/jcr/ucab060,5
94,10.1093/jcr/ucab049,3
95,10.1093/jcr/ucab072,2
96,10.1093/jcr/ucab010,17
97,10.1093/jcr/ucaa052,11
98,10.1093/jcr/ucab018,8
99,10.1093/jcr/ucaa023,10
100,10.1093/jcr/ucab047,3
