,DOI
0,10.1086/322904
1,10.1086/383439
2,10.1086/376806
3,10.1086/339923
4,10.1086/374692
5,10.1086/497560
6,10.1086/339926
7,10.1086/341572
8,10.1086/383422
9,10.1086/209567
10,10.1086/432237
11,10.1086/383437
12,10.1086/422108
13,10.1086/425104
14,10.1086/426609
15,10.1086/322896
16,10.1086/422119
17,10.1086/422114
18,10.1086/497545
19,10.1086/425097
20,10.1086/422125
21,10.1086/339918
22,10.1086/425103
23,10.1086/341393
24,10.1086/383421
25,10.1086/339924
26,10.1086/380291
27,10.1086/317586
28,10.1086/497547
29,10.1086/317592
30,10.1086/338212
31,10.1086/319620
32,10.1086/319626
33,10.1086/345935
34,10.1086/338082
35,10.1086/497546
36,10.1086/429607
37,10.1086/378621
38,10.1086/319618
39,10.1086/383434
40,10.1086/376800
41,10.1086/346254
42,10.1086/339919
43,10.1086/338206
44,10.1086/314307
45,10.1086/346248
46,10.1086/338211
47,10.1086/378615
48,10.1086/426626
49,10.1086/339928
50,10.1086/314305
51,10.1086/422109
52,10.1086/346244
53,10.1086/319624
54,10.1086/209573
55,10.1086/314323
56,10.1086/432233
57,10.1086/321951
58,10.1086/338213
59,10.1086/338205
60,10.1086/321947
61,10.1086/314309
62,10.1086/323728
63,10.1086/432231
64,10.1086/314322
65,10.1086/344431
66,10.1086/426612
67,10.1086/323736
68,10.1086/429605
69,10.1086/497558
70,10.1086/380283
71,10.1086/338207
72,10.1086/339921
73,10.1086/317587
74,10.1086/429597
75,10.1086/314311
76,10.1086/378612
77,10.1086/322908
78,10.1086/374699
79,10.1086/374697
80,10.1086/383435
81,10.1086/376804
82,10.1086/346255
83,10.1086/344430
84,10.1086/321945
85,10.1086/339920
86,10.1086/432234
87,10.1086/319621
88,10.1086/380294
89,10.1086/323734
90,10.1086/322897
91,10.1086/314321
92,10.1086/432236
93,10.1086/376807
94,10.1086/422118
95,10.1086/432239
96,10.1086/422105
97,10.1086/338204
98,10.1086/383425
99,10.1086/426608
100,10.1086/497556
101,10.1086/317590
102,10.1086/340460
103,10.1086/321955
104,10.1086/314314
105,10.1086/430648
106,10.1086/322910
107,10.1086/323267
108,10.1086/430647
109,10.1086/426621
110,10.1086/322900
111,10.1086/426615
112,10.1086/497551
113,10.1086/425090
114,10.1086/425092
115,10.1086/497554
116,10.1086/497548
117,10.1086/378614
118,10.1086/425096
119,10.1086/378622
120,10.1086/341576
121,10.1086/376799
122,10.1086/426605
123,10.1086/425094
124,10.1086/321946
125,10.1086/380285
126,10.1086/497555
127,10.1086/322902
128,10.1086/426624
129,10.1086/314306
130,10.1086/378619
131,10.1086/346250
132,10.1086/432229
133,10.1086/426617
134,10.1086/344433
135,10.1086/209566
136,10.1086/344432
137,10.1086/429604
138,10.1086/314317
139,10.1086/429601
140,10.1086/432232
141,10.1086/319625
142,10.1086/346249
143,10.1086/346247
144,10.1086/432241
145,10.1086/341577
146,10.1086/425101
147,10.1086/422120
148,10.1086/338210
149,10.1086/383432
150,10.1086/344429
151,10.1086/374702
152,10.1086/380292
153,10.1086/322903
154,10.1086/317589
155,10.1086/426614
156,10.1086/209568
157,10.1086/497552
158,10.1086/426623
159,10.1086/426619
160,10.1086/322899
161,10.1086/383438
162,10.1086/314319
163,10.1086/383420
164,10.1086/317593
165,10.1086/323732
166,10.1086/321954
167,10.1086/374701
168,10.1086/432238
169,10.1086/429600
170,10.1086/321949
171,10.1086/314325
172,10.1086/422111
173,10.1086/425089
174,10.1086/383427
175,10.1086/426625
176,10.1086/432235
177,10.1086/344425
178,10.1086/344422
179,10.1086/383429
180,10.1086/426606
181,10.1086/314310
182,10.1086/314318
183,10.1086/323730
184,10.1086/338208
185,10.1086/380293
186,10.1086/322906
187,10.1086/323726
188,10.1086/339925
189,10.1086/209571
190,10.1086/322909
191,10.1086/323740
192,10.1086/422106
193,10.1086/432228
194,10.1086/432242
195,10.1086/497557
196,10.1086/323735
197,10.1086/426618
198,10.1086/497549
199,10.1086/341571
200,10.1086/346253
201,10.1086/426613
202,10.1086/380289
203,10.1086/317585
204,10.1086/429602
205,10.1086/374700
206,10.1086/432243
207,10.1086/374698
208,10.1086/426610
209,10.1086/380288
210,10.1086/321944
211,10.1086/341575
212,10.1086/376802
213,10.1086/422110
214,10.1086/314312
215,10.1086/383428
216,10.1086/497553
217,10.1086/425102
218,10.1086/346251
219,10.1086/341570
220,10.1086/497559
221,10.1086/380290
222,10.1086/425100
223,10.1086/425099
224,10.1086/432240
225,10.1086/383431
226,10.1086/314324
227,10.1086/323738
228,10.1086/321953
229,10.1086/346243
230,10.1086/426622
231,10.1086/422122
232,10.1086/319617
233,10.1086/425085
234,10.1086/425105
235,10.1086/425095
236,10.1086/374695
237,10.1086/344426
238,10.1086/429606
239,10.1086/323733
240,10.1086/422117
241,10.1086/383426
242,10.1086/317591
243,10.1086/426620
244,10.1086/374696
245,10.1086/339927
246,10.1086/497550
247,10.1086/378613
248,10.1086/374694
249,10.1086/314320
250,10.1086/319622
251,10.1086/341574
252,10.1086/322905
253,10.1086/432230
254,10.1086/380286
255,10.1086/380284
256,10.1086/344428
257,10.1086/376803
258,10.1086/425093
259,10.1086/209570
260,10.1086/380287
261,10.1086/321952
262,10.1086/378617
263,10.1086/376805
264,10.1086/429603
265,10.1086/383436
266,10.1086/322901
267,10.1086/323731
268,10.1086/378620
269,10.1086/209572
270,10.1086/323737
271,10.1086/344424
272,10.1086/374693
273,10.1086/341569
274,10.1086/344427
275,10.1086/383424
276,10.1086/422121
277,10.1086/422124
278,10.1086/314308
279,10.1086/425086
280,10.1086/422115
281,10.1086/321950
282,10.1086/341568
283,10.1086/322907
284,10.1086/425091
285,10.1086/425087
286,10.1086/425098
287,10.1086/346246
288,10.1086/422112
289,10.1086/209565
290,10.1086/426616
291,10.1086/378618
292,10.1086/341578
293,10.1086/338202
294,10.1086/319619
295,10.1086/422104
296,10.1086/322898
297,10.1086/429598
298,10.1086/422107
299,10.1086/314313
300,10.1086/317588
301,10.1086/429599
302,10.1086/383430
303,10.1086/321948
304,10.1086/344423
305,10.1086/346252
306,10.1086/323727
307,10.1086/378616
308,10.1086/338203
309,10.1086/323739
310,10.1086/319623
311,10.1086/422116
312,10.1086/425084
313,10.1086/422113
314,10.1086/376801
315,10.1086/425088
316,10.1086/383433
317,10.1086/422123
318,10.1086/383423
319,10.1086/383419
320,10.1086/376808
321,10.1086/341573
322,10.1086/426611
323,10.1086/339922
324,10.1086/346245
325,10.1086/209569
326,10.1086/323729
327,10.1086/338209
