,DOI,Citation
0,10.1086/383439,4157
1,10.1086/376806,3
2,10.1086/339923,80
3,10.1086/374692,377
4,10.1086/497560,60
5,10.1086/339926,65
6,10.1086/341572,253
7,10.1086/383422,6
8,10.1086/209567,434
9,10.1086/432237,83
10,10.1086/383437,86
11,10.1086/425104,355
12,10.1086/426609,290
13,10.1086/322896,774
14,10.1086/422119,12
15,10.1086/422114,234
16,10.1086/497545,400
17,10.1086/425097,105
18,10.1086/422125,108
19,10.1086/339918,268
20,10.1086/425103,381
21,10.1086/383421,251
22,10.1086/339924,63
23,10.1086/380291,85
24,10.1086/317586,85
25,10.1086/497547,75
26,10.1086/317592,1214
27,10.1086/338212,372
28,10.1086/319620,309
29,10.1086/338082,5
30,10.1086/497546,457
31,10.1086/429607,6
32,10.1086/378621,13
33,10.1086/319618,2
34,10.1086/383434,4
35,10.1086/376800,15
36,10.1086/346254,3404
37,10.1086/339919,1909
38,10.1086/338206,698
39,10.1086/314307,379
40,10.1086/346248,117
41,10.1086/338211,256
42,10.1086/378615,420
43,10.1086/426626,6
44,10.1086/339928,80
45,10.1086/314305,448
46,10.1086/422109,1462
47,10.1086/346244,1446
48,10.1086/319624,254
49,10.1086/209573,235
50,10.1086/314323,734
51,10.1086/432233,10
52,10.1086/321951,1001
53,10.1086/338213,605
54,10.1086/338205,286
55,10.1086/321947,221
56,10.1086/314309,8
57,10.1086/323728,408
58,10.1086/432231,133
59,10.1086/314322,98
60,10.1086/344431,354
61,10.1086/426612,514
62,10.1086/323736,99
63,10.1086/429605,372
64,10.1086/497558,71
65,10.1086/380283,476
66,10.1086/338207,209
67,10.1086/339921,151
68,10.1086/317587,199
69,10.1086/429597,507
70,10.1086/314311,537
71,10.1086/378612,94
72,10.1086/322908,103
73,10.1086/374699,347
74,10.1086/374697,623
75,10.1086/383435,234
76,10.1086/376804,290
77,10.1086/346255,27
78,10.1086/344430,329
79,10.1086/321945,530
80,10.1086/432234,292
81,10.1086/319621,29
82,10.1086/380294,223
83,10.1086/323734,561
84,10.1086/322897,486
85,10.1086/314321,465
86,10.1086/432236,156
87,10.1086/376807,520
88,10.1086/422118,408
89,10.1086/432239,4
90,10.1086/422105,184
91,10.1086/338204,99
92,10.1086/383425,425
93,10.1086/426608,117
94,10.1086/497556,463
95,10.1086/317590,435
96,10.1086/340460,3
97,10.1086/430648,19
98,10.1086/430647,8
99,10.1086/322900,528
100,10.1086/426615,649
101,10.1086/497551,132
102,10.1086/425090,424
103,10.1086/425092,372
104,10.1086/497554,122
105,10.1086/497548,985
106,10.1086/378614,182
107,10.1086/425096,5
108,10.1086/378622,63
109,10.1086/341576,620
110,10.1086/376799,31
111,10.1086/426605,533
112,10.1086/425094,155
113,10.1086/321946,106
114,10.1086/380285,4
115,10.1086/497555,129
116,10.1086/322902,165
117,10.1086/426624,184
118,10.1086/314306,401
119,10.1086/378619,8
120,10.1086/346250,1103
121,10.1086/432229,90
122,10.1086/426617,145
123,10.1086/344433,167
124,10.1086/209566,1040
125,10.1086/344432,1242
126,10.1086/429604,21
127,10.1086/314317,27
128,10.1086/429601,343
129,10.1086/432232,73
130,10.1086/319625,195
131,10.1086/346249,116
132,10.1086/346247,227
133,10.1086/432241,124
134,10.1086/341577,5
135,10.1086/425101,4
136,10.1086/422120,981
137,10.1086/338210,296
138,10.1086/383432,8
139,10.1086/344429,43
140,10.1086/380292,105
141,10.1086/322903,306
142,10.1086/317589,150
143,10.1086/426614,104
144,10.1086/209568,294
