,0
0,(When) Does Third-Party Recognition for Design Excellence Affect Financial Performance in Business-to-Business Markets?
1,A Cinderella Story: How Past Identity Salience Boosts Demand for Repurposed Products
2,A Commentary on “Transformative Marketing: The Next 20 Years”
3,A Meta-Analysis of When and How Advertising Creativity Works
4,A Study of Bidding Behavior in Voluntary-Pay Philanthropic Auctions
5,A Theories-in-Use Approach to Building Marketing Theory
6,"A Theory of Customer Valuation: Concepts, Metrics, Strategy, and Implementation"
7,Acknowledgments
8,Acknowledgments
9,An Empirical Analysis of the Joint Effects of Shoppers’ Goals and Attribute Display on Shoppers’ Evaluations
10,An Integrated Power and Efficiency Model of Contractual Channel Governance: Theory and Empirical Evidence
11,App Popularity: Where in the World Are Consumers Most Sensitive to Price and User Ratings?
12,Brand Coolness
13,Branding Cultural Products in International Markets: A Study of Hollywood Movies in China
14,Branding in a Hyperconnected World: Refocusing Theories and Rethinking Boundaries
15,Business-to-Business E-Negotiations and Influence Tactics
16,Can Advertising Investments Counter the Negative Impact of Shareholder Complaints on Firm Value?
17,Challenging the Boundaries of Marketing
18,"Clustering, Knowledge Sharing, and Intrabrand Competition: A Multiyear Analysis of an Evolving Franchise System"
19,"Coins Are Cold and Cards Are Caring: The Effect of Pregiving Incentives on Charity Perceptions, Relationship Norms, and Donation Behavior"
20,Collaborative Market Driving: How Peer Firms Can Develop Markets Through Collective Action
21,Commentary: Marketing and the Sharing Economy: Digital Economy and Emerging Market Challenges
22,Commentary: Mind Your Text in Marketing Practice
23,"Commentary: The Twilight of Brand and Consumerism?: Digital Trust, Cultural Meaning, and the Quest for Connection in the Sharing Economy"
24,Competitive Effects of Front-of-Package Nutrition Labeling Adoption on Nutritional Quality: Evidence from Facts Up Front–Style Labels
25,Converging on a New Theoretical Foundation for Selling
26,Corporate Sociopolitical Activism and Firm Value
27,"Corrigendum to ""Cueing Morality: The Effect of High-Pitched Music on Healthy Choice"""
28,"Creating Boundary-Breaking, Marketing-Relevant Consumer Research"
29,Creating Effective Online Customer Experiences
30,Cueing Morality: The Effect of High-Pitched Music on Healthy Choice
31,Customer Experience Journeys: Loyalty Loops Versus Involvement Spirals
32,Customer Satisfaction and Its Impact on the Future Costs of Selling
33,"Design Crowdsourcing: The Impact on New Product Performance of Sourcing Design Solutions from the ""Crowd"""
34,"Detecting, Preventing, and Mitigating Online Firestorms in Brand Communities"
35,Device Switching in Online Purchasing: Examining the Strategic Contingencies
36,Do Consumers Always Spend More When Coupon Face Value is Larger? The Inverted U-Shaped Effect of Coupon Face Value on Consumer Spending Level
37,Driving Brand Engagement Through Online Social Influencers: An Empirical Investigation of Sponsored Blogging Campaigns
38,Dynamic Governance Matching in Solution Development
39,Effect of Alliance Network Asymmetry on Firm Performance and Risk
40,Effects of Contract Ambiguity in Interorganizational Governance
41,Effects of Liberalization on Incumbent Firms' Marketing-Mix Responses and Performance: Evidence from a Quasi-Experiment
42,Evaluating the Effectiveness of Retailer-Themed Super Saver Events
43,Featuring Mistakes: The Persuasive Impact of Purchase Mistakes in Online Reviews
44,Format Neglect: How the Use of Numerical Versus Percentage Rank Claims Influences Consumer Judgments
45,Full Disclosure: How Smartphones Enhance Consumer Self-Disclosure
46,Gear Manufacturers as Contestants in Sports Competitions: Breeding and Branding Returns
47,Gift Purchases as Catalysts for Strengthening Customer–Brand Relationships
48,Hands Off My Brand! The Financial Consequences of Protecting Brands Through Trademark Infringement Lawsuits
49,Help Me Help You! Employing the Marketing Mix to Alleviate Experiences of Donor Sacrifice
50,Highlighting Effort Versus Talent in Service Employee Performance: Customer Attributions and Responses
51,How Consumers' Political Ideology and Status-Maintenance Goals Interact to Shape Their Desire for Luxury Goods
52,How Do Specialized Personal Incentives Enhance Sales Performance? The Benefits of Steady Sales Growth
53,How Does Consumers' Local or Global Identity Influence Price–Perceived Quality Associations? The Role of Perceived Quality Variance
54,How to SHIFT Consumer Behaviors to be More Sustainable: A Literature Review and Guiding Framework
55,Immediate Responses of Online Brand Search and Price Search to TV Ads
56,Improving Cancer Outreach Effectiveness Through Targeting and Economic Assessments: Insights from a Randomized Field Experiment
